JeinPoLiEnergySavingLampsBad,v_val,i_val,p_val,pf_val,date
JeinPoLiEnergySavingLampsBad,116.099998,0.25,18,0.642,1531663019
JeinPoLiEnergySavingLampsBad,115.5,0.251,18,0.641,1531663021
JeinPoLiEnergySavingLampsBad,114.900002,0.249,18,0.651,1531663023
JeinPoLiEnergySavingLampsBad,114.800003,0.248,18,0.654,1531663025
JeinPoLiEnergySavingLampsBad,115.300003,0.248,18,0.65,1531663026
JeinPoLiEnergySavingLampsBad,116.599998,0.248,18,0.642,1531663028
JeinPoLiEnergySavingLampsBad,116.300003,0.247,18,0.643,1531663030
JeinPoLiEnergySavingLampsBad,115.400002,0.247,18,0.654,1531663032
JeinPoLiEnergySavingLampsBad,115.400002,0.251,18,0.642,1531663033
JeinPoLiEnergySavingLampsBad,115.099998,0.249,18,0.649,1531663035
JeinPoLiEnergySavingLampsBad,115.599998,0.253,18,0.635,1531663037
JeinPoLiEnergySavingLampsBad,115,0.255,18,0.631,1531663039
JeinPoLiEnergySavingLampsBad,114.599998,0.253,18,0.643,1531663041
JeinPoLiEnergySavingLampsBad,114.099998,0.252,18,0.648,1531663042
JeinPoLiEnergySavingLampsBad,115.099998,0.248,18,0.653,1531663044
JeinPoLiEnergySavingLampsBad,115.400002,0.249,18,0.643,1531663046
JeinPoLiEnergySavingLampsBad,114.099998,0.253,18,0.641,1531663047
JeinPoLiEnergySavingLampsBad,114.400002,0.25,18,0.647,1531663049
JeinPoLiEnergySavingLampsBad,114.599998,0.253,18,0.639,1531663051
JeinPoLiEnergySavingLampsBad,114.199997,0.256,18,0.638,1531663053
JeinPoLiEnergySavingLampsBad,114.5,0.253,18,0.64,1531663055
JeinPoLiEnergySavingLampsBad,115.199997,0.25,18,0.642,1531663056
JeinPoLiEnergySavingLampsBad,114.599998,0.25,18,0.645,1531663058
JeinPoLiEnergySavingLampsBad,114.699997,0.248,18,0.65,1531663060
JeinPoLiEnergySavingLampsBad,115.400002,0.247,18,0.65,1531663062
JeinPoLiEnergySavingLampsBad,115.800003,0.248,18,0.644,1531663064
JeinPoLiEnergySavingLampsBad,114.199997,0.248,18,0.654,1531663065
JeinPoLiEnergySavingLampsBad,114.5,0.247,18,0.656,1531663067
JeinPoLiEnergySavingLampsBad,114.5,0.246,18,0.656,1531663069
JeinPoLiEnergySavingLampsBad,114.800003,0.25,18,0.644,1531663071
JeinPoLiEnergySavingLampsBad,114.300003,0.251,18,0.645,1531663072
JeinPoLiEnergySavingLampsBad,115.800003,0.253,18,0.632,1531663074
JeinPoLiEnergySavingLampsBad,116.300003,0.253,18,0.628,1531663076
JeinPoLiEnergySavingLampsBad,116.800003,0.246,18,0.641,1531663077
JeinPoLiEnergySavingLampsBad,115.099998,0.247,18,0.649,1531663079
JeinPoLiEnergySavingLampsBad,114,0.249,18,0.651,1531663081
JeinPoLiEnergySavingLampsBad,114.599998,0.25,18,0.644,1531663083
JeinPoLiEnergySavingLampsBad,114.5,0.251,18,0.644,1531663084
JeinPoLiEnergySavingLampsBad,114.400002,0.252,18,0.644,1531663086
JeinPoLiEnergySavingLampsBad,114.400002,0.254,18,0.638,1531663088
JeinPoLiEnergySavingLampsBad,114.599998,0.253,18,0.64,1531663090
JeinPoLiEnergySavingLampsBad,114.900002,0.252,18,0.639,1531663091
JeinPoLiEnergySavingLampsBad,115.199997,0.248,18,0.649,1531663093
JeinPoLiEnergySavingLampsBad,115.400002,0.246,18,0.652,1531663095
JeinPoLiEnergySavingLampsBad,116.199997,0.246,18,0.649,1531663097
JeinPoLiEnergySavingLampsBad,115.699997,0.246,18,0.651,1531663098
JeinPoLiEnergySavingLampsBad,115.400002,0.246,18,0.653,1531663100
JeinPoLiEnergySavingLampsBad,115.300003,0.248,18,0.648,1531663102
JeinPoLiEnergySavingLampsBad,114.699997,0.254,18,0.639,1531663104
JeinPoLiEnergySavingLampsBad,114.300003,0.251,18,0.648,1531663105
JeinPoLiEnergySavingLampsBad,115.199997,0.248,18,0.649,1531663107
JeinPoLiEnergySavingLampsBad,115.099998,0.255,18,0.632,1531663109
JeinPoLiEnergySavingLampsBad,115.599998,0.251,18,0.639,1531663111
JeinPoLiEnergySavingLampsBad,115.5,0.246,18,0.652,1531663113
JeinPoLiEnergySavingLampsBad,115.400002,0.245,18,0.652,1531663115
JeinPoLiEnergySavingLampsBad,115.800003,0.251,18,0.635,1531663116
JeinPoLiEnergySavingLampsBad,115.199997,0.254,18,0.629,1531663118
JeinPoLiEnergySavingLampsBad,114.5,0.258,18,0.626,1531663120
JeinPoLiEnergySavingLampsBad,114.900002,0.249,18,0.648,1531663122
JeinPoLiEnergySavingLampsBad,114.800003,0.246,18,0.655,1531663124
JeinPoLiEnergySavingLampsBad,114.5,0.247,18,0.652,1531663126
JeinPoLiEnergySavingLampsBad,115.400002,0.246,18,0.65,1531663128
JeinPoLiEnergySavingLampsBad,115.300003,0.25,18,0.639,1531663129
JeinPoLiEnergySavingLampsBad,114.699997,0.253,18,0.636,1531663131
JeinPoLiEnergySavingLampsBad,114.900002,0.251,18,0.643,1531663133
JeinPoLiEnergySavingLampsBad,115.699997,0.25,18,0.642,1531663135
JeinPoLiEnergySavingLampsBad,114.800003,0.251,18,0.644,1531663136
JeinPoLiEnergySavingLampsBad,114.400002,0.25,18,0.647,1531663138
JeinPoLiEnergySavingLampsBad,115.199997,0.247,18,0.652,1531663140
JeinPoLiEnergySavingLampsBad,116.199997,0.247,18,0.644,1531663142
JeinPoLiEnergySavingLampsBad,116,0.249,18,0.642,1531663143
JeinPoLiEnergySavingLampsBad,115.5,0.25,18,0.642,1531663145
JeinPoLiEnergySavingLampsBad,115.5,0.25,18,0.644,1531663147
JeinPoLiEnergySavingLampsBad,114.099998,0.252,18,0.646,1531663149
JeinPoLiEnergySavingLampsBad,114,0.256,18,0.633,1531663150
JeinPoLiEnergySavingLampsBad,115,0.251,18,0.644,1531663152
JeinPoLiEnergySavingLampsBad,115.5,0.248,18,0.649,1531663154
JeinPoLiEnergySavingLampsBad,115.599998,0.25,18,0.641,1531663156
JeinPoLiEnergySavingLampsBad,115.400002,0.251,18,0.64,1531663158
JeinPoLiEnergySavingLampsBad,115.5,0.254,18,0.633,1531663159
JeinPoLiEnergySavingLampsBad,116,0.252,18,0.636,1531663161
JeinPoLiEnergySavingLampsBad,115.699997,0.249,18,0.644,1531663163
JeinPoLiEnergySavingLampsBad,114.699997,0.253,18,0.638,1531663165
JeinPoLiEnergySavingLampsBad,114.199997,0.255,18,0.636,1531663167
JeinPoLiEnergySavingLampsBad,114.900002,0.252,18,0.642,1531663169
JeinPoLiEnergySavingLampsBad,115.400002,0.248,18,0.65,1531663170
JeinPoLiEnergySavingLampsBad,115.5,0.248,18,0.647,1531663172
JeinPoLiEnergySavingLampsBad,115.300003,0.249,18,0.647,1531663174
JeinPoLiEnergySavingLampsBad,114.599998,0.253,18,0.642,1531663175
JeinPoLiEnergySavingLampsBad,114.300003,0.254,18,0.64,1531663177
JeinPoLiEnergySavingLampsBad,115.800003,0.247,18,0.647,1531663179
JeinPoLiEnergySavingLampsBad,116.400002,0.247,18,0.644,1531663181
JeinPoLiEnergySavingLampsBad,115,0.248,18,0.65,1531663183
JeinPoLiEnergySavingLampsBad,114.900002,0.252,18,0.641,1531663184
JeinPoLiEnergySavingLampsBad,115.599998,0.25,18,0.642,1531663186
JeinPoLiEnergySavingLampsBad,115.5,0.253,18,0.636,1531663188
JeinPoLiEnergySavingLampsBad,116.5,0.252,18,0.633,1531663190
JeinPoLiEnergySavingLampsBad,116,0.251,18,0.641,1531663192
JeinPoLiEnergySavingLampsBad,115.900002,0.254,18,0.631,1531663193
JeinPoLiEnergySavingLampsBad,116.900002,0.252,18,0.63,1531663195
JeinPoLiEnergySavingLampsBad,116.300003,0.247,18,0.647,1531663197
JeinPoLiEnergySavingLampsBad,115.199997,0.247,18,0.653,1531663199
JeinPoLiEnergySavingLampsBad,115,0.251,18,0.643,1531663200
JeinPoLiEnergySavingLampsBad,115.199997,0.251,18,0.644,1531663202
JeinPoLiEnergySavingLampsBad,115,0.255,18,0.632,1531663204
JeinPoLiEnergySavingLampsBad,115,0.259,18,0.622,1531663206
JeinPoLiEnergySavingLampsBad,115.599998,0.251,18,0.642,1531663208
JeinPoLiEnergySavingLampsBad,115.5,0.249,18,0.644,1531663209
JeinPoLiEnergySavingLampsBad,115.800003,0.249,18,0.642,1531663211
JeinPoLiEnergySavingLampsBad,116.099998,0.247,18,0.648,1531663213
JeinPoLiEnergySavingLampsBad,115,0.247,18,0.653,1531663215
JeinPoLiEnergySavingLampsBad,115,0.25,18,0.647,1531663217
JeinPoLiEnergySavingLampsBad,116,0.249,18,0.642,1531663218
JeinPoLiEnergySavingLampsBad,115.199997,0.247,18,0.653,1531663220
JeinPoLiEnergySavingLampsBad,114.800003,0.249,18,0.649,1531663222
JeinPoLiEnergySavingLampsBad,115.5,0.25,18,0.641,1531663224
JeinPoLiEnergySavingLampsBad,116,0.248,18,0.641,1531663226
JeinPoLiEnergySavingLampsBad,116.5,0.246,18,0.644,1531663227
JeinPoLiEnergySavingLampsBad,116.800003,0.246,18,0.643,1531663229
JeinPoLiEnergySavingLampsBad,115.599998,0.25,18,0.643,1531663231
JeinPoLiEnergySavingLampsBad,115.199997,0.251,18,0.64,1531663233
JeinPoLiEnergySavingLampsBad,115.099998,0.251,18,0.64,1531663235
JeinPoLiEnergySavingLampsBad,115.800003,0.246,18,0.648,1531663236
JeinPoLiEnergySavingLampsBad,115.800003,0.25,18,0.638,1531663238
JeinPoLiEnergySavingLampsBad,115.300003,0.25,18,0.64,1531663240
JeinPoLiEnergySavingLampsBad,114.5,0.25,18,0.647,1531663242
JeinPoLiEnergySavingLampsBad,114.800003,0.25,18,0.643,1531663244
JeinPoLiEnergySavingLampsBad,115.400002,0.254,18,0.632,1531663245
JeinPoLiEnergySavingLampsBad,115.699997,0.252,18,0.636,1531663247
JeinPoLiEnergySavingLampsBad,116.199997,0.248,18,0.643,1531663249
JeinPoLiEnergySavingLampsBad,116.599998,0.247,18,0.644,1531663251
JeinPoLiEnergySavingLampsBad,115.699997,0.253,18,0.633,1531663253
JeinPoLiEnergySavingLampsBad,115.699997,0.249,18,0.641,1531663254
JeinPoLiEnergySavingLampsBad,116.199997,0.247,18,0.646,1531663256
JeinPoLiEnergySavingLampsBad,116.099998,0.247,18,0.647,1531663258
JeinPoLiEnergySavingLampsBad,116.400002,0.246,18,0.646,1531663259
JeinPoLiEnergySavingLampsBad,115.900002,0.246,18,0.647,1531663261
JeinPoLiEnergySavingLampsBad,115.900002,0.247,18,0.646,1531663263
JeinPoLiEnergySavingLampsBad,115.900002,0.247,18,0.645,1531663265
JeinPoLiEnergySavingLampsBad,114.699997,0.248,18,0.649,1531663267
JeinPoLiEnergySavingLampsBad,115,0.251,18,0.642,1531663268
JeinPoLiEnergySavingLampsBad,114.800003,0.253,18,0.64,1531663270
JeinPoLiEnergySavingLampsBad,114.900002,0.249,18,0.647,1531663272
JeinPoLiEnergySavingLampsBad,114.599998,0.25,18,0.645,1531663274
JeinPoLiEnergySavingLampsBad,115.800003,0.25,18,0.637,1531663276
JeinPoLiEnergySavingLampsBad,116.199997,0.25,18,0.636,1531663278
JeinPoLiEnergySavingLampsBad,115.199997,0.254,18,0.632,1531663279
JeinPoLiEnergySavingLampsBad,115.300003,0.25,18,0.64,1531663281
JeinPoLiEnergySavingLampsBad,115.300003,0.249,18,0.645,1531663283
JeinPoLiEnergySavingLampsBad,115.400002,0.249,18,0.645,1531663285
JeinPoLiEnergySavingLampsBad,115.599998,0.247,18,0.647,1531663287
JeinPoLiEnergySavingLampsBad,116.099998,0.247,18,0.648,1531663289
JeinPoLiEnergySavingLampsBad,115.099998,0.251,18,0.642,1531663290
JeinPoLiEnergySavingLampsBad,114.400002,0.257,18,0.629,1531663292
JeinPoLiEnergySavingLampsBad,114.300003,0.256,18,0.633,1531663294
JeinPoLiEnergySavingLampsBad,114.400002,0.253,18,0.64,1531663296
JeinPoLiEnergySavingLampsBad,116,0.25,18,0.64,1531663298
JeinPoLiEnergySavingLampsBad,115.400002,0.248,18,0.647,1531663299
JeinPoLiEnergySavingLampsBad,115.699997,0.247,18,0.645,1531663301
JeinPoLiEnergySavingLampsBad,115.699997,0.251,18,0.638,1531663303
JeinPoLiEnergySavingLampsBad,116.300003,0.252,18,0.633,1531663305
JeinPoLiEnergySavingLampsBad,116.199997,0.252,18,0.633,1531663307
JeinPoLiEnergySavingLampsBad,115.800003,0.247,18,0.648,1531663308
JeinPoLiEnergySavingLampsBad,115.300003,0.251,18,0.64,1531663310
JeinPoLiEnergySavingLampsBad,116,0.251,18,0.638,1531663312
JeinPoLiEnergySavingLampsBad,116.599998,0.247,18,0.644,1531663314
JeinPoLiEnergySavingLampsBad,115.400002,0.251,18,0.641,1531663315
JeinPoLiEnergySavingLampsBad,115.5,0.25,18,0.643,1531663317
JeinPoLiEnergySavingLampsBad,116.699997,0.246,18,0.645,1531663319
JeinPoLiEnergySavingLampsBad,115.300003,0.252,18,0.639,1531663320
JeinPoLiEnergySavingLampsBad,115.199997,0.251,18,0.641,1531663322
JeinPoLiEnergySavingLampsBad,116.099998,0.247,18,0.647,1531663324
JeinPoLiEnergySavingLampsBad,116.5,0.246,18,0.643,1531663326
JeinPoLiEnergySavingLampsBad,116.300003,0.246,18,0.647,1531663328
JeinPoLiEnergySavingLampsBad,115.699997,0.246,18,0.651,1531663330
JeinPoLiEnergySavingLampsBad,115.199997,0.249,18,0.646,1531663331
JeinPoLiEnergySavingLampsBad,115.599998,0.248,18,0.644,1531663333
JeinPoLiEnergySavingLampsBad,116.199997,0.247,18,0.644,1531663335
JeinPoLiEnergySavingLampsBad,116.300003,0.249,18,0.64,1531663337
JeinPoLiEnergySavingLampsBad,115.400002,0.248,18,0.645,1531663338
JeinPoLiEnergySavingLampsBad,115.800003,0.251,18,0.637,1531663340
JeinPoLiEnergySavingLampsBad,115.699997,0.252,18,0.636,1531663342
JeinPoLiEnergySavingLampsBad,115.5,0.249,18,0.644,1531663344
JeinPoLiEnergySavingLampsBad,115.400002,0.248,18,0.647,1531663345
JeinPoLiEnergySavingLampsBad,115.599998,0.251,18,0.637,1531663347
JeinPoLiEnergySavingLampsBad,115.800003,0.249,18,0.642,1531663349
JeinPoLiEnergySavingLampsBad,115.699997,0.246,18,0.652,1531663351
JeinPoLiEnergySavingLampsBad,115.599998,0.248,18,0.645,1531663352
JeinPoLiEnergySavingLampsBad,115.5,0.248,18,0.646,1531663354
JeinPoLiEnergySavingLampsBad,114.699997,0.247,18,0.653,1531663356
